"Polynomial Degree","a","b"
336,"{-2.233671, 2.233671}","{0. - 1.*I, 0. + 1.*I}"
337,"{-2.233678}","{}"
338,"{-2.233685, 2.233685}","{}"
339,"{-2.233692}","{}"
340,"{-2.233699, 2.233699}","{0. - 1.*I, 0. + 1.*I}"
341,"{-2.233706}","{}"
342,"{-2.233713, 2.233713}","{}"
343,"{-2.23372}","{}"
344,"{-2.233726, 2.233726}","{0. - 1.*I, 0. + 1.*I}"
345,"{-2.233733}","{}"
346,"{-2.23374, 2.23374}","{}"
347,"{-2.233747}","{}"
348,"{-2.233753, 2.233753}","{0. - 1.*I, 0. + 1.*I}"
349,"{-2.23376}","{}"
350,"{-2.233767, 2.233767}","{}"
351,"{-2.233773}","{}"
352,"{-2.23378, 2.23378}","{0. - 1.*I, 0. + 1.*I}"
353,"{-2.233786}","{}"
354,"{-2.233793, 2.233793}","{}"
355,"{-2.233799}","{}"
356,"{-2.233805, 2.233805}","{0. - 1.*I, 0. + 1.*I}"
357,"{-2.233812}","{}"
358,"{-2.233818, 2.233818}","{}"
359,"{-2.233824}","{}"
360,"{-2.233831, 2.233831}","{0. - 1.*I, 0. + 1.*I}"
361,"{-2.233837}","{}"
362,"{-2.233843, 2.233843}","{}"
363,"{-2.233849}","{}"
364,"{-2.233855, 2.233855}","{0. - 1.*I, 0. + 1.*I}"
365,"{-2.233861}","{}"
366,"{-2.233867, 2.233867}","{}"
367,"{-2.233873}","{}"
368,"{-2.233879, 2.233879}","{0. - 1.*I, 0. + 1.*I}"
369,"{-2.233885}","{}"
370,"{-2.233891, 2.233891}","{}"
371,"{-2.233897}","{}"
372,"{-2.233903, 2.233903}","{0. - 1.*I, 0. + 1.*I}"
373,"{-2.233909}","{}"
374,"{-2.233914, 2.233914}","{}"
375,"{-2.23392}","{}"
376,"{-2.233926, 2.233926}","{0. - 1.*I, 0. + 1.*I}"
377,"{-2.233932}","{}"
378,"{-2.233937, 2.233937}","{}"
379,"{-2.233943}","{}"
380,"{-2.233948, 2.233948}","{0. - 1.*I, 0. + 1.*I}"
381,"{-2.233954}","{}"
382,"{-2.23396, 2.23396}","{}"
383,"{-2.233965}","{}"
384,"{-2.233971, 2.233971}","{0. - 1.*I, 0. + 1.*I}"
385,"{-2.233976}","{}"
386,"{-2.233981, 2.233981}","{}"
387,"{-2.233987}","{}"
388,"{-2.233992, 2.233992}","{0. - 1.*I, 0. + 1.*I}"
389,"{-2.233997}","{}"
390,"{-2.234003, 2.234003}","{}"
391,"{-2.234008}","{}"
392,"{-2.234013, 2.234013}","{0. - 1.*I, 0. + 1.*I}"
393,"{-2.234019}","{}"
394,"{-2.234024, 2.234024}","{}"
395,"{-2.234029}","{}"
396,"{-2.234034, 2.234034}","{0. - 1.*I, 0. + 1.*I}"
397,"{-2.234039}","{}"
398,"{-2.234044, 2.234044}","{}"
399,"{-2.234049}","{}"
400,"{-2.234054, 2.234054}","{0. - 1.*I, 0. + 1.*I}"
401,"{-2.23406}","{}"
402,"{-2.234065, 2.234065}","{}"
403,"{-2.234069}","{}"
404,"{-2.234074, 2.234074}","{0. - 1.*I, 0. + 1.*I}"
405,"{-2.234079}","{}"
406,"{-2.234084, 2.234084}","{}"
407,"{-2.234089}","{}"
408,"{-2.234094, 2.234094}","{0. - 1.*I, 0. + 1.*I}"
409,"{-2.234099}","{}"
410,"{-2.234104, 2.234104}","{}"
411,"{-2.234108}","{}"
412,"{-2.234113, 2.234113}","{0. - 1.*I, 0. + 1.*I}"
413,"{-2.234118}","{}"
414,"{-2.234123, 2.234123}","{}"
415,"{-2.234127}","{}"
416,"{-2.234132, 2.234132}","{0. - 1.*I, 0. + 1.*I}"
417,"{-2.234137}","{}"
418,"{-2.234141, 2.234141}","{}"
419,"{-2.234146}","{}"
420,"{-2.23415, 2.23415}","{0. - 1.*I, 0. + 1.*I}"
